what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1392150065867
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1392150066760
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1392150066761
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1392150069942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392150070127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392150072203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392150090567
error,log,,,"Could not write metadata for '/sphinx'.",1392150342412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392150344405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392150346976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392155063705
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1392155065634
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392155075502
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392155075602
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1392155075619
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392155077661
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392155078531
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392155078598
